step,mean_return,policy_loss,value_loss,entropy_loss,cpc_loss,infonce_loss,supcon_loss,aux_dyn_loss
2048,-1300.7856027059256,-0.0021472537096997256,9117.465539550782,-1.428851493820548,8.402994155883789,3.821178674697876,4.015557289123535,4.1802592277526855
4096,-1183.2761263690888,-0.0037319986426155084,7438.235713195801,-1.4290412455797195,4.944133281707764,3.5639145374298096,4.697418212890625,0.9104771614074707
6144,-1368.115311729908,-0.0015956371906213462,9599.167846679688,-1.4130478113889695,4.5450592041015625,3.528965711593628,4.233327865600586,0.5927605628967285
8192,-1236.2616811551154,-0.0005878537907847203,8479.375341796875,-1.4055368974804878,4.1999006271362305,3.462705612182617,4.3246378898620605,0.30473119020462036
10240,-1214.590121796727,-0.002418364872573875,7171.286994934082,-1.4103581219911576,4.619943141937256,3.58181095123291,4.0779709815979,0.6303349137306213
12288,-1176.7846448240336,-0.0015638646436855197,6511.122926330567,-1.4129623137414455,3.9466018676757812,3.2984659671783447,3.8133251667022705,0.2668032646179199
14336,-1257.7434223517776,-0.0006745879785739817,7222.413351440429,-1.404033888876438,4.444468975067139,3.5797030925750732,4.088202476501465,0.45594561100006104
16384,-1146.9404854478548,-0.0034907023669802583,5573.277812957764,-1.3981989849358798,3.980430841445923,3.3237521648406982,4.003466606140137,0.25633183121681213
18432,-1147.8741590004415,-0.0005310356558766216,5113.399642944336,-1.4020323671400547,4.151752948760986,3.4932215213775635,3.9749767780303955,0.26103392243385315
20480,-1284.9676700215787,-0.0025049662843230182,6709.7161270141605,-1.4051301393657922,4.00035285949707,3.415961265563965,4.130558013916016,0.17133581638336182
22528,-1135.741951879114,-0.002708828307368094,4720.015037536621,-1.3976836994290351,3.971930980682373,3.435776948928833,3.9604392051696777,0.14010991156101227
24576,-1179.975143809989,-0.0018804562729201279,5077.544679260254,-1.3968409411609173,4.115203857421875,3.5183427333831787,3.994406223297119,0.19742047786712646
26624,-1118.61102764979,-0.0021247089534881525,3987.318939971924,-1.3997625064104795,4.0035881996154785,3.4098074436187744,4.125135898590088,0.18126733601093292
28672,-1263.088816294819,-0.001404597019427456,5241.724365234375,-1.4048066537827253,3.9878647327423096,3.4484970569610596,3.9146411418914795,0.14790363609790802
30720,-1308.4878961186855,-0.00010970064904540777,5303.150521850586,-1.4119779109954833,3.96907114982605,3.461968421936035,3.688711643218994,0.13823162019252777
32768,-1171.9611338250338,-0.002012772527814377,4199.478551483155,-1.409763078764081,3.8750579357147217,3.3817474842071533,3.688852548599243,0.12442519515752792
34816,-1083.0243386102607,-0.0015288484821212478,3074.264803314209,-1.3997379567474126,3.7352733612060547,3.259822130203247,3.727357864379883,0.10271546989679337
36864,-1209.3617216106504,-0.0015156719455262646,3941.5596687316893,-1.3846248537302017,3.9557669162750244,3.4448654651641846,3.6751747131347656,0.14338405430316925
38912,-1321.557868616283,-0.0017264934933336918,4470.6962791442875,-1.375551799684763,4.001110076904297,3.5362064838409424,3.7646358013153076,0.08843984454870224
40960,-1111.8135851494967,-0.004005526738183107,2644.5152183532714,-1.3851132728159428,3.9071567058563232,3.4142720699310303,4.008026599884033,0.09208206087350845
43008,-1155.9405177516862,-0.001725389611965511,2573.8908714294435,-1.3981453403830528,3.996077060699463,3.5219180583953857,3.910956859588623,0.08306330442428589
45056,-1110.069189546071,-0.0020554737064230723,2408.2551300048826,-1.409643479809165,3.808170795440674,3.330838918685913,3.973440170288086,0.07998764514923096
47104,-1138.0359230268746,-0.004538573064201046,2188.8981285095215,-1.4100437961518764,3.8665084838867188,3.4112653732299805,3.8106112480163574,0.07418213039636612
49152,-1189.3838770635425,-0.003486434028309304,2052.1612255096434,-1.4199321821331978,3.793440580368042,3.350517988204956,3.7631680965423584,0.06660575419664383
51200,-1015.1103266872,-0.0031037511595059185,1642.0410610198974,-1.4207671523094176,3.7428126335144043,3.3084726333618164,3.9099667072296143,0.04334327206015587
53248,-1232.8227942353114,-0.005357745373476064,2240.8792709350587,-1.4021293267607688,3.9010374546051025,3.447108030319214,3.844749927520752,0.06945440918207169
55296,-1151.0986444979906,-0.003971695646760054,1743.7506298065186,-1.394606201723218,3.946237087249756,3.480583906173706,4.050282001495361,0.06062503531575203
57344,-1239.4881787037477,-0.002425304663483985,2012.4727363586426,-1.3975277189165354,3.978248119354248,3.5620040893554688,3.654078483581543,0.050836075097322464
59392,-1150.1416754812003,-0.0014672014804091305,1600.849858856201,-1.397415467724204,3.8144681453704834,3.410329580307007,3.5652599334716797,0.047612737864255905
61440,-1203.7778996752575,-0.00519544149574358,1856.2821025848389,-1.4041621576994658,4.000326156616211,3.6085596084594727,3.505066394805908,0.041260138154029846
63488,-1234.0723925621248,-0.0016264389705611393,1921.6817039489747,-1.4072576146572828,3.8490681648254395,3.4522292613983154,3.516411066055298,0.04519760608673096
65536,-1168.583521454595,-0.005112996812385973,1219.1161222457886,-1.4108487959951161,3.9689321517944336,3.5435171127319336,3.604665517807007,0.06494844704866409
67584,-1261.214707909152,-0.0014564104028977453,1683.8169342041015,-1.4140929903835058,3.857034683227539,3.4513638019561768,3.562471389770508,0.04942366108298302
69632,-1209.2787876397372,-0.00475004618492676,1077.4263429641724,-1.3997517824172974,3.900386333465576,3.500473976135254,3.6520302295684814,0.03470936417579651
71680,-1126.5041602044832,-0.002752455900190398,1085.1089305877686,-1.389081471040845,3.995290517807007,3.5800201892852783,3.7418277263641357,0.04108763113617897
73728,-1242.0690857291222,-0.0015691242311731911,1223.2351819992066,-1.3877224031835795,3.935346841812134,3.539860486984253,3.5272068977355957,0.04276558384299278
75776,-1137.072097670473,-0.003974212710454594,611.5732148170471,-1.379081877321005,3.7805800437927246,3.351924180984497,3.891570568084717,0.03949882090091705
77824,-1059.7233344090869,-0.006277832591877086,627.083493423462,-1.3650968883186578,3.716869354248047,3.3395442962646484,3.442883253097534,0.03303659334778786
79872,-1059.8867705479265,-0.00450009600026533,682.8123381614685,-1.361702236905694,3.7208943367004395,3.3379173278808594,3.5758326053619385,0.02539370395243168
81920,-1035.2442841760815,-0.0027126311091706158,532.1424215316772,-1.3498306766152381,3.604552745819092,3.2339069843292236,3.398287057876587,0.03081691823899746
83968,-966.8331916227937,-0.0036705214442918077,524.1030305862427,-1.33607060611248,3.8540005683898926,3.448129653930664,3.710235595703125,0.03484736755490303
86016,-1068.5983503093012,-0.00500843194895424,712.9480887413025,-1.330790090933442,3.78938627243042,3.4199609756469727,3.3115761280059814,0.03826763853430748
88064,-1049.035584503971,-0.006306875517475418,429.8561664581299,-1.3186029423028232,3.700775384902954,3.330282211303711,3.4407739639282227,0.026415757834911346
90112,-1051.0889570669037,-0.009373097235220484,466.91272020339966,-1.2961683705449105,3.7389867305755615,3.3683156967163086,3.484891176223755,0.022182004526257515
92160,-1064.3451724654528,-0.0029784838785417377,620.1087141990662,-1.2796264182776214,3.6057348251342773,3.2614729404449463,3.211012601852417,0.02316066436469555
94208,-999.5361905571466,-0.005012718708894681,622.8049611091614,-1.273677869141102,3.6103713512420654,3.2326927185058594,3.518631935119629,0.025815539062023163
96256,-1001.5470737466123,-0.0045149654964916405,739.7207122802735,-1.26279471591115,3.625279664993286,3.258593797683716,3.344890594482422,0.032196853309869766
98304,-1028.0288497581146,-0.002237814396357862,705.8213628768921,-1.256109208613634,3.5924572944641113,3.2249250411987305,3.390244245529175,0.028507811948657036
100352,-1073.9879632899538,-0.0024554884526878594,588.2889407157897,-1.24531723074615,3.5983593463897705,3.249980926513672,3.2342309951782227,0.024955332279205322
