step,mean_return,policy_loss,value_loss,entropy_loss,vae_loss
2048,-1154.7309517666697,-0.0004673587769502774,7433.8008087158205,-1.4195312928408383,143.83432006835938
4096,-1199.4521761778276,-0.0008155249030096457,8077.665382385254,-1.4227652318775654,64.28239440917969
6144,-1198.6416099986993,-0.0025313960693893025,7916.8851119995115,-1.4225520949810744,30.739294052124023
8192,-1336.4415263220667,-0.004236324003431946,9183.033160400391,-1.4237460903823376,20.285900115966797
10240,-1248.9561615154148,-0.0026537946774624287,7687.854986572265,-1.4311770036816598,13.08191967010498
12288,-1268.3637925112155,-0.003960131788335275,7887.775869750976,-1.420836006104946,10.654510498046875
14336,-1208.8281140476465,-0.003985668942914344,6492.60258178711,-1.407567584142089,12.311042785644531
16384,-1237.5273501850666,-0.004385279827693012,7220.95951538086,-1.4003025643527507,7.195819854736328
18432,-1274.759475973621,-0.0024835525771777613,6663.632269287109,-1.3992464516311884,11.457642555236816
20480,-1287.592347972095,-0.0005665727414452704,6265.437780761718,-1.4016526192426682,8.45102310180664
22528,-1211.4374767042696,-0.004881585693510715,6515.693935394287,-1.4190422751009464,3.019646644592285
24576,-1267.4469457276166,-0.0013230936980107798,5612.9399116516115,-1.4344692070037126,4.727615833282471
26624,-1219.5404983037151,-0.0015178956236923113,5281.779927825928,-1.4316924016922712,4.722665309906006
28672,-1196.8824919358826,-0.003060773646575399,4933.615310668945,-1.432211723178625,3.998143434524536
30720,-1242.1565034788102,-0.0020436943363165484,4834.541355133057,-1.4416894670575857,3.4232101440429688
32768,-1244.7547888752074,-0.0020949015852238517,4604.99024810791,-1.4489000473171472,2.9678688049316406
34816,-1133.5525781601668,-0.0024764569112448952,3405.7604736328126,-1.440019166097045,2.267615795135498
36864,-1256.3677651826292,-0.0027361323140212336,3882.0156784057617,-1.422365776449442,3.6005332469940186
38912,-1210.279737985693,-0.0060731953170034105,4145.685768890381,-1.3916724126785993,3.2258429527282715
40960,-1165.1380414463579,-0.0005234094089246355,2699.3676246643067,-1.372651668637991,2.4586617946624756
43008,-1202.3442485729233,-0.006547670063446276,3072.1280097961426,-1.3733826816082,3.9077560901641846
45056,-1086.4035704456269,-0.003013083378027659,2135.8413013458253,-1.3621514745056629,2.0325467586517334
47104,-1130.9140716975555,-0.003794308088981779,2466.948141860962,-1.3432912964373827,2.1745412349700928
49152,-1249.5632871897892,-0.002123347797896713,2944.109192276001,-1.3375680066645146,1.895742654800415
51200,-1078.5082695154474,-0.004933551084832288,1810.682233428955,-1.3378256745636463,1.7369506359100342
53248,-1198.7996745869518,-0.003452964621101273,2048.2517471313477,-1.3407107438892125,1.7951668500900269
55296,-1348.7943054415286,-0.0012890280821011401,3189.0355693817137,-1.3466350831091405,1.8980228900909424
57344,-1366.9813174229116,-0.0038424861311796123,3123.724729537964,-1.3432036105543375,1.9650797843933105
59392,-1255.7162720454858,0.0003079263580730185,1635.383999824524,-1.3450045607984067,2.1407129764556885
61440,-1311.1211614115716,-0.0024755718564847483,2206.997751235962,-1.3400274824351073,1.483513593673706
63488,-1190.961489560944,-0.0008633817109512165,1443.4149686813355,-1.333407273516059,3.615751266479492
65536,-1215.169520009868,-0.0017538828644319438,1270.6193786621093,-1.3485733557492494,1.9251348972320557
67584,-1229.6395554840565,-0.002874113754660357,1223.1782415390014,-1.3562794011086226,2.6170408725738525
69632,-1307.229166378081,-0.002880166291288333,1404.2623918533325,-1.3442084431648254,2.1334969997406006
71680,-1167.6496032563039,-0.0019722027020179665,892.8084491729736,-1.3297510091215372,1.9419176578521729
73728,-1124.9659105241299,-0.0015164569427724927,919.7193321228027,-1.3329536329954863,1.9469423294067383
75776,-1109.7803947553039,0.0019189050304703414,677.3825466156006,-1.3352622739970683,1.8227734565734863
77824,-1067.5276071989442,0.020898921527987113,627.3950814247131,-1.329833873361349,3.3109562397003174
79872,-1198.1869267337024,-0.003212744374468457,998.3956121444702,-1.3290652003139258,2.1256494522094727
81920,-1138.834900443256,-0.0023815324006136508,521.1053291320801,-1.3287318598479032,2.113959312438965
83968,-1016.5129125794396,-0.003286537771782605,516.4103749275207,-1.3277262557297944,2.023852825164795
86016,-1149.37723570168,-0.0024069967577815985,738.8534241676331,-1.328090512380004,2.1315371990203857
88064,-1162.6683516440912,-0.004252884492598241,375.36301097869875,-1.3309693280607462,2.9530365467071533
90112,-1077.707016140595,-0.0013031563503318466,396.36137828826907,-1.3304989259690045,1.1422781944274902
92160,-1084.714478935115,-0.002087898933677934,678.2511342048645,-1.3215454805642366,1.5191550254821777
