step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1290.6250047326089,-0.0017833353660535068,9792.452980041504,-1.4126389961689712
4096,-1152.1920749164578,-0.0018622963158122729,6841.327978515625,-1.4068572260439396
6144,-1286.3195046558976,-0.002043288767163176,8911.975804138183,-1.4050223466008902
8192,-1189.8405181827954,-0.0020984760980354623,7215.10283203125,-1.4008206713944673
10240,-1276.0721459985712,-0.0010947529350232798,7843.098854064941,-1.3898116927593946
12288,-1126.9257171315141,-0.00169842636823887,6569.0013778686525,-1.387954080477357
14336,-1099.1161270073615,-0.001514185122505296,5579.846179199219,-1.3869213316589595
16384,-1183.3323120151647,-0.0010435733071062713,5970.919171142578,-1.3787098456174136
18432,-1331.7176708761604,-0.0015073824717546814,7251.595393371582,-1.3726483639329672
20480,-1398.8375636197627,-0.0008447478809102904,7224.878733825683,-1.3775646574795246
22528,-1283.9246857129037,-0.0012623038492165506,6489.205771636963,-1.3826785702258348
24576,-1199.4338253758847,-0.00330424080893863,5360.013550567627,-1.3733289524912835
26624,-1357.9269645944237,-0.0010257582907797769,6059.800122833252,-1.3706017650663853
