step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1220.8040807122366,0.0007694805070059374,2281.501601982117,-1.4368054259568452
4096,-1256.222048384277,-0.0032445597993500997,1340.7634201049805,-1.4380931578576566
6144,-1271.8238663878292,-0.0014069604309042915,1079.9289874076844,-1.4871032077819109
8192,-1135.7390129020437,-0.0005863513521035202,1143.2383171081542,-1.5091740522533654
10240,-1226.564366312325,-0.002183516341028735,695.6301354408264,-1.4991618357598782
12288,-1179.2791175780817,-0.0026835718002985232,608.2725619316101,-1.517721814289689
14336,-1167.7079903189092,-0.001322137817624025,805.4550990104675,-1.4991199307143688
16384,-1238.678241108358,-0.002185629616724327,585.6982365608216,-1.5002974018454551
18432,-1294.2096506983041,-0.004258076508995146,368.5356939315796,-1.5006004959344863
20480,-1207.169390066713,-0.0004225943019264378,569.3295094490052,-1.4951505567878485
22528,-1071.0750898027793,-0.0031224300269968807,689.768708896637,-1.4979946214705706
24576,-1215.8208001283929,-0.0029288856290804687,596.19382686615,-1.51560237146914
26624,-1208.9149524619802,-0.002037207996181678,585.5888096809388,-1.529931140318513
