step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1227.0105646446348,-0.0025518631446175277,7982.2296691894535,-1.4175424914807082
4096,-1349.8658641338347,-0.0034160167939262464,10022.781860351562,-1.4168340537697077
6144,-1280.0749703059905,-0.002938020859437529,8634.076499938965,-1.4193245109170676
8192,-1209.060497605335,-0.002134988739999244,8843.638996887206,-1.4077703926712275
10240,-1236.7717490166426,-0.0020867794548394157,7334.94369354248,-1.3967713583260775
12288,-1145.9875922668725,-0.003478225882281549,6110.900466918945,-1.3946569330990315
14336,-1425.772338443622,-0.0016249829721346031,9352.30956878662,-1.3922174789011479
16384,-1308.110957404878,-0.0017321538645774126,7557.372723388672,-1.3976677559316157
18432,-1189.1515025386586,-0.0016625993011984974,5994.014694976807,-1.4016016330569983
20480,-1169.4445371148176,-0.0011675999849103391,5336.493438720703,-1.399466197192669
22528,-1338.464619538188,-0.00342721931374399,6699.917347717285,-1.402474620938301
24576,-1243.4513917073607,-0.0011884559324244037,5688.053103637695,-1.4024991869926453
26624,-1164.833703969512,-0.002239265968091786,4619.771030426025,-1.3939311157912015
28672,-1306.95913926512,-0.0018826253479346633,5715.1124267578125,-1.38779359459877
30720,-1210.8147341955919,-0.001339132980501745,4540.32236328125,-1.3845286779105663
32768,-1172.0855293556117,-0.0012818080271244981,4110.826695251465,-1.3914391443133354
34816,-1134.6740865087456,-0.0024097321496810765,3477.753240966797,-1.4050878431648015
36864,-1328.4635397203267,-0.0019755145782255567,4862.683983612061,-1.4084982547909022
38912,-1132.1594371344895,-0.0019389022229006514,2898.17515296936,-1.4070002477616073
40960,-1111.5660546806641,-0.0033719790168106555,2772.9150157928466,-1.412619536742568
