step,mean_return,policy_loss,value_loss,entropy_loss,vae_loss
2048,-1189.8117157749832,-0.002713166899047792,7643.188682556152,-1.4181997280567884,122.1781234741211
4096,-1283.9806271895766,-0.002813871463877149,8504.79192047119,-1.4124925728887319,81.0557632446289
6144,-1316.719947940111,-0.002709063244401477,9184.593811035156,-1.4130944032222033,29.982500076293945
8192,-1267.5086438827216,-0.0016966721726930701,8128.893203735352,-1.4163819067180157,39.24885940551758
10240,-1332.2137465789915,-0.0021677973894838943,8769.42368927002,-1.409766185283661,23.956565856933594
12288,-1286.6287478759884,-0.0007968184116180054,7450.606327819824,-1.392517302930355,24.446914672851562
14336,-1101.9882660783828,-0.0018189907161286101,5984.728614807129,-1.387010930478573,17.14118766784668
16384,-1206.1980096885934,-0.0009067494291230104,6120.266314697265,-1.3938181351870298,7.112813949584961
18432,-1146.8793184258043,-0.001012873591389507,5029.016144561768,-1.4121743857860565,8.47647476196289
20480,-1227.7939154967667,-0.0026326123232138345,6114.734944152832,-1.4225107934325933,7.730306625366211
22528,-1182.9892143578502,-0.001305441968725063,4752.143095397949,-1.4149769391864537,5.06295919418335
24576,-1186.8414529811125,-0.0009437814907869325,5461.417147827148,-1.415970240905881,7.051713466644287
26624,-1213.214887562394,-0.0020602218835847454,4745.3035537719725,-1.41936528198421,6.792342185974121
28672,-1247.9085920259356,-0.0008687638866831549,4983.392397308349,-1.411562379449606,5.201714515686035
30720,-1354.7786887310444,-0.0009225800167769194,5534.204758453369,-1.403795525431633,4.968664646148682
32768,-1249.7187568128109,-0.00010364603076595813,4799.936679077148,-1.4022304017096758,4.653478622436523
34816,-1251.6096476402133,-0.0034833459299989044,4206.077236938477,-1.4061304051429033,3.7168264389038086
36864,-1293.5887187618762,-0.0026172970683546737,4259.6591323852535,-1.4066925786435605,4.49874210357666
38912,-1286.5486135693268,-0.003990873086149804,4070.0937156677246,-1.4009221401065588,2.5313162803649902
40960,-1288.038628685102,-0.0028702448966214434,3927.826658630371,-1.402506996318698,2.4500434398651123
43008,-1220.4077589139342,-0.004541441900073551,3005.0447441101073,-1.4029253371059895,1.9566303491592407
45056,-1312.0427488412708,-0.001741188573942054,3677.806893157959,-1.4000843264162541,2.788292646408081
47104,-1147.9691036690026,-0.0009995486965635792,2267.747814178467,-1.4016761381179095,1.7147853374481201
49152,-1173.6699384115636,-0.004196909168240381,2433.637144088745,-1.4076213132590056,1.3705394268035889
51200,-1173.181221928168,-0.0026622094279446173,2166.144599914551,-1.4111866842955352,2.8473153114318848
53248,-1348.0458050880582,-0.002329360337898834,3137.9071517944335,-1.4056758373975753,2.3206779956817627
55296,-1209.6193752244114,-0.0031336002823081797,2318.7613624572755,-1.3925205502659082,2.374993324279785
57344,-1157.2654158234595,-0.0018845530285034329,1694.4975479125976,-1.386662232130766,1.0825692415237427
59392,-1220.782127079554,-0.002876108416239731,1485.6796766281127,-1.384790461882949,1.7416670322418213
61440,-1135.001268560812,-0.002654571324819699,1413.529368019104,-1.3804329734295606,1.563251256942749
63488,-1313.1228885948658,-0.0019077595949056557,1953.6163528442382,-1.3820199590176343,1.5268622636795044
65536,-1127.9593378903344,-0.003134907535422826,894.3923159599304,-1.3776876024901867,1.7343240976333618
67584,-1264.3122051097453,-0.0036528269221889785,1655.2629325866699,-1.3774213448166848,2.944157600402832
69632,-1142.8128559425472,-0.0018553609406808391,1012.5130340576172,-1.3683906622231006,1.2013251781463623
71680,-1246.4716672182083,-0.0035310570427100176,1173.4049165725708,-1.3527981728315353,3.0839736461639404
73728,-1181.551925080968,-0.002368918243155349,1074.6701358795167,-1.348015133291483,1.9469588994979858
75776,-1101.0844374012202,-0.003259307125699706,632.4985891342163,-1.3472223091870545,1.6865885257720947
77824,-1185.8268399316817,-0.0033202702219568892,716.7170638084411,-1.3462610125541687,1.06697416305542
79872,-1263.9405824113637,-0.002844357950380072,998.5047193527222,-1.3391526766121387,2.0036206245422363
81920,-1185.828665304929,-0.005125225182564463,675.9562184333802,-1.3402926728129387,1.7004666328430176
83968,-1076.4247021265328,-0.00661609857052099,484.2172472000122,-1.3423233259469272,1.5962547063827515
86016,-1129.4244429204614,-0.005145216466917191,577.7494031906128,-1.3456614181399345,1.5186681747436523
88064,-1054.634778054431,-0.0037903671618551016,539.5087697982788,-1.3438587591052056,2.381772041320801
90112,-1095.646214956371,-0.004890445135970367,602.5408883094788,-1.337565777823329,0.9200746417045593
92160,-1141.4031275376678,-0.0029608182041556573,602.7607049942017,-1.32987579703331,1.6352503299713135
94208,-1106.223780617863,-0.003945661812031176,345.1722948551178,-1.3247896190732718,1.2058955430984497
96256,-1110.522195530683,-0.0035651355239679104,384.473162317276,-1.3314599808305503,1.0075939893722534
98304,-1092.6243568553589,-0.004611138803738868,520.5552607536316,-1.3294283375144005,2.3480958938598633
100352,-971.4019767384976,-0.004978686726826709,593.0788083076477,-1.3122170463204383,1.1426417827606201
102400,-971.6593314254657,-0.0022145914532302412,382.7741348743439,-1.30031719468534,0.9741386771202087
104448,-1067.6073090318591,-0.0032004161526856477,469.58059229850767,-1.2881174866110086,1.6129716634750366
106496,-996.6793368263636,-0.002323925998643972,497.04574728012085,-1.2801089644432069,1.1929503679275513
108544,-978.6404363307171,-0.0024154217244358733,616.7733299255372,-1.2747352208942175,2.44926381111145
110592,-1081.5176094925962,-0.0006052940356312319,524.050686454773,-1.275128472968936,1.7151310443878174
112640,-953.0735425365158,-0.0011681042567943222,611.7298212528228,-1.2824944365769624,0.6846840381622314
114688,-1013.6428347944282,-0.00493171518901363,907.4264573097229,-1.2799662254750728,1.717605710029602
116736,-954.6544933121652,-0.003038978355471045,604.654090499878,-1.282785676792264,0.9323391914367676
118784,-944.644975376618,-0.003698531031841412,682.1380491256714,-1.288753953576088,0.84914231300354
120832,-927.0505651314277,-0.004206813834025524,985.7845252037048,-1.2839131522923708,3.281524419784546
122880,-1083.4727765183895,-0.005154549729923019,673.4689801216125,-1.2775256481021642,0.9962466359138489
124928,-929.1994687411149,-0.005277206479513552,841.663411808014,-1.2733491882681847,2.322640895843506
126976,-1013.4288630209281,-0.004761239695653785,1022.0036430358887,-1.267794742435217,0.8423837423324585
129024,-905.8879951376002,-0.003962842989130877,874.0026578903198,-1.267582868784666,1.3065224885940552
131072,-921.8782974904985,-0.004540400685073109,1215.5801325798034,-1.268849004805088,1.1473808288574219
133120,-899.4929952116916,-0.002243769266351592,622.1788709640502,-1.2633939012885094,1.4452956914901733
135168,-962.2076950036455,-0.0028767977986717598,616.0587423324585,-1.2623776506632567,1.1862083673477173
137216,-848.9955495522415,-0.002771301564644091,841.3930185317993,-1.26301902346313,1.051640272140503
139264,-922.8988228808623,-0.0039215112861711535,926.2674136161804,-1.2575881108641624,1.3286585807800293
141312,-860.2176587253925,-0.004178343158127973,721.0302680015564,-1.2377451531589032,0.7191129326820374
143360,-774.234514175728,-0.0022924597360542975,1327.4110977172852,-1.2222691047936678,0.6519052386283875
145408,-880.764362624113,-0.0023945158434798943,797.044684123993,-1.2222320787608623,2.90585994720459
147456,-865.6030121349788,-0.0024414033767243383,783.2238198280335,-1.21857741586864,1.2020001411437988
149504,-710.2934425080763,-0.0032552181401115377,1636.2915462493897,-1.2159202560782432,0.7102116346359253
