step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1239.0579435491236,0.0006047685310477391,2279.225478363037,-1.4284928880631924
4096,-1253.5015976287425,-0.0009914497146382927,1414.2224869728088,-1.4239186592400075
6144,-1339.6405767593533,-0.0023451048822607846,1011.4015095710754,-1.433421267196536
8192,-1233.393554122001,-0.002936994480842259,1129.3517070770263,-1.445376607403159
10240,-1240.9682403743268,-0.0024858741468051448,733.6779927253723,-1.4762320518493652
12288,-1168.7594335831702,-0.007600652957626153,649.504822921753,-1.506636505201459
14336,-1233.561864532996,-0.0013995167129905895,669.0089692115783,-1.5242989677935839
16384,-1201.5444936145097,-0.004422460906789638,533.7191807746888,-1.5446935303509235
18432,-1276.4727515280247,-0.0009462169036851265,552.2222959518433,-1.5514191158115864
20480,-1323.2875112530978,-0.004003309730615001,761.3435227394104,-1.573694234713912
22528,-1124.0572920031846,-0.0005825542117236182,540.2711665153504,-1.5842381313443183
24576,-1123.056732298121,-0.0026851949296542443,730.6567371368408,-1.5960882142186166
26624,-1271.289275046438,-0.0019599423962063157,498.0139039993286,-1.6058888636529445
28672,-1184.8453893411904,-0.0021980033081490545,630.6722370147705,-1.6033559814095497
30720,-1045.7231056112796,-0.0024747244104219137,673.054504776001,-1.6081592116504908
32768,-1111.5124890087172,-0.0002568448602687567,759.5062729835511,-1.6262713864445686
34816,-1112.719694012776,-0.0021638740297930783,797.8318506240845,-1.6440818749368191
36864,-1166.6671297043563,-0.0005803803505841643,613.475475025177,-1.6626243192702532
38912,-1060.850728274882,-0.001105012856714893,771.735526752472,-1.6625238589942455
40960,-1040.954993022629,-0.004674431655439548,682.949499130249,-1.674262073636055
43008,-1066.5525305490942,-0.002047137904446572,755.5738512039185,-1.6777498789131642
45056,-1138.0221707764315,-0.0001620545590412803,580.4508332252502,-1.6909770358353853
47104,-1161.7242310062052,-0.005530799274856691,615.191293144226,-1.6870427709072828
49152,-1182.8410429127514,-0.0016276898983051068,836.5167443275452,-1.6787052135914564
51200,-1050.8115804570728,-3.11324700305704e-05,901.3427719116211,-1.7101152129471302
53248,-1132.143380722776,-0.005217019749397878,364.9224029541016,-1.7275629218667745
55296,-922.4281252379063,-0.0033469402435002847,690.3763173103332,-1.7561490256339312
57344,-1015.4059716464951,-0.0017130692634964363,677.8193150520325,-1.7861720316112042
59392,-1139.6787988934666,-0.0036127711122389884,531.3129156589508,-1.8107149545103312
61440,-1144.1562137698754,-0.0036347815810586328,639.3610962867737,-1.8146033745259047
63488,-1179.0662422539667,-0.003713854636589531,565.2090275764465,-1.7963433813303709
65536,-952.2733729504049,-0.005435553040297236,597.9023141860962,-1.7980295188724995
67584,-1046.477119471226,-0.0033378678432200103,769.362243938446,-1.7869013134390115
69632,-950.8272695777938,-0.002952759557229001,838.0309151649475,-1.7875369749963284
71680,-690.4429190991708,-0.006091838698193896,1197.4506052017211,-1.7706815883517266
73728,-991.7857572489186,-0.00587690874672262,1190.092332458496,-1.7476900085806846
75776,-892.7139351706021,-0.001779805959085934,1400.9737352371217,-1.735844636708498
77824,-663.9824678240984,-0.006626431102631614,1225.2358364105226,-1.7456379376351834
79872,-956.6710929923363,-0.005667055161029566,1408.8937156677246,-1.762034785747528
81920,-987.2394256822299,-0.00420201153610833,1607.9975629806518,-1.774491947889328
83968,-649.0323007089668,-0.0030354464164702223,2412.075268173218,-1.7671957716345787
86016,-716.745362979878,-0.0026676691908505746,2712.1816440582274,-1.7494801424443722
88064,-879.151941759282,-0.002971032096684212,1748.8584129333497,-1.719835276156664
90112,-664.9608503623298,-0.005498780855850783,2597.385375213623,-1.707586869597435
92160,-887.6313981080195,-0.003933188314840663,1656.7839948654175,-1.7110228799283504
94208,-739.2550571911619,-0.0014905634074239061,2096.1238374710083,-1.734139484912157
96256,-748.4017836598971,-0.006333808046474587,1730.0139631271363,-1.723796898126602
98304,-724.2404438609177,-0.0019241492133005521,1351.9905339241027,-1.7116100430488586
100352,-746.389297617563,-0.002977429221209604,2886.901295852661,-1.7133635822683573
