step,mean_return,policy_loss,value_loss,entropy_loss,vae_loss
2048,-1392.1389552515,-0.002449166920268908,10581.128475952148,-1.4113678716123104,63.17998504638672
4096,-1238.711267927289,-0.0029141476115910336,6329.108897399902,-1.404285530373454,13.312853813171387
6144,-1446.762016955018,-0.003562040158431046,11167.558038330078,-1.399601063504815,6.320082664489746
8192,-1344.5883609264843,-0.0009226640337146819,8744.001467895509,-1.4055084612220525,11.360355377197266
10240,-1390.0502509959042,-0.002765212625672575,9593.534036254883,-1.4090320643037557,8.634943008422852
12288,-1272.18520681886,-0.0019787639292189853,7611.350764465332,-1.408550825715065,5.71417236328125
14336,-1413.296218162775,-0.0018996149461599997,8634.805018615723,-1.4104875713586806,2.7308318614959717
16384,-1190.7863542560488,-0.003318079406017205,6212.4591262817385,-1.4021846946328878,4.305901527404785
