mode,total_steps,seed,final_mean_return
oracle,50000,20,-1126.0404488771223
oracle,50000,30,-1244.4353999409825
oracle,50000,400,-1344.2000553063117
oracle,50000,500,-1088.6689296027646
oracle,50000,6000,-1153.8413156879135
oracle,50000,7000,-1187.7926518838854
oracle,50000,8888,-1150.2847531624138
oracle,50000,9999,-1294.7924221411347
vae,15000,0,-1190.7863542560488
vae,15000,1,-1191.6353789966554
vae,15000,20,-1127.093663419038
vae,15000,30,-1324.8385435298085
vae,15000,400,-1258.3571401275694
vae,15000,500,-1218.8629336372949
vae,15000,6000,-1306.2542129664682
vae,15000,7000,-1356.5986347660423
vae,15000,8888,-1216.4556219551712
vae,15000,9999,-1155.7269183468077
vae,25000,0,-1258.1842640275136
vae,25000,1,-1232.546776162088
vae,25000,20,-1146.2118942951754
vae,25000,30,-1241.0262138003484
vae,25000,400,-1147.9842062985524
vae,25000,500,-1153.5931956280024
vae,25000,6000,-1106.0383875709726
vae,25000,7000,-1327.1340369857849
vae,25000,8888,-1037.9278864128514
vae,25000,9999,-1191.652567801997
vae,40000,0,-1168.1431442048402
vae,40000,1,-1298.5967935137685
vae,40000,20,-1111.9388901326806
vae,40000,30,-1237.773240287602
vae,40000,400,-1266.588442544639
vae,40000,500,-1093.2422419259324
vae,40000,6000,-1133.6715200204403
vae,40000,7000,-1290.2242172256113
vae,40000,8888,-1211.656750655733
vae,40000,9999,-1306.2342868424953
vae,50000,0,-1231.4577028963715
vae,50000,1,-1293.428461009788
vae,50000,20,-1126.355315693468
vae,50000,30,-1239.256666880101
vae,50000,400,-1224.8879357861356
vae,50000,500,-1200.2913460716604
vae,50000,6000,-1157.211925322376
vae,50000,7000,-1246.2888176754118
vae,50000,8888,-1231.860603011772
vae,50000,9999,-1228.6773690491914
cpc,15000,0,-1175.0086547302085
cpc,15000,1,-1311.0202195703982
cpc,15000,20,-1190.7830536639317
cpc,15000,30,-1295.3217004177627
cpc,15000,400,-1233.035531178303
cpc,15000,500,-1207.1685614802875
cpc,15000,6000,-1321.548096687533
cpc,15000,7000,-1280.4033565767108
cpc,15000,8888,-1207.1442705716938
cpc,15000,9999,-1216.021475526318
cpc,25000,0,-1256.1933277517558
cpc,25000,1,-1178.2319954015315
cpc,25000,20,-1141.2895561522223
cpc,25000,30,-1244.329881283827
cpc,25000,400,-1125.5001009776256
cpc,25000,500,-1215.189397208765
cpc,25000,6000,-1104.4175142541128
cpc,25000,7000,-1321.9332410223783
cpc,25000,8888,-1139.6376909513958
cpc,25000,9999,-1176.4128794895485
cpc,40000,0,-1229.9197844658047
cpc,40000,1,-1213.7672964095605
cpc,40000,20,-1103.4994568295544
cpc,40000,30,-1215.5879912998528
cpc,40000,400,-1221.13835465461
cpc,40000,500,-1130.680870384257
cpc,40000,6000,-1080.3973923444748
cpc,40000,7000,-1107.9060808635318
cpc,40000,8888,-1108.084998107329
cpc,40000,9999,-1323.2365425258874
cpc,50000,0,-1143.0097976478748
cpc,50000,1,-1147.6795690327183
cpc,50000,20,-1118.799627095461
cpc,50000,30,-1247.3277917258442
cpc,50000,400,-1181.383358633239
cpc,50000,500,-1124.1049716294683
cpc,50000,6000,-1133.762869333662
cpc,50000,7000,-1053.718854739226
cpc,50000,8888,-1169.5515762060882
cpc,50000,9999,-1141.6425090964883
