step,mean_return,policy_loss,value_loss,entropy_loss,vae_loss
2048,-1201.2670101916417,-0.001353851702879183,8342.041035461425,-1.4220952108502387,71.60196685791016
4096,-1330.1904722422362,-0.0009952948719728738,9301.155905151367,-1.4283748522400856,35.14955139160156
6144,-1221.4015291801304,-0.0038064092208514922,7461.384954833984,-1.4308695677667855,17.482149124145508
8192,-1116.3070480972528,-0.0019751928499317727,7078.127496337891,-1.4315509647130966,10.799059867858887
10240,-1158.3600885462015,-0.0013673012974322774,5941.701907348633,-1.4350193850696087,4.52078914642334
12288,-1301.2538600601256,-0.0018324369870242664,7724.702909851074,-1.4385697808116675,6.176875591278076
14336,-1307.868818930164,-0.004559460589371156,7852.656144714356,-1.4419809248298407,5.411269187927246
16384,-1314.6821413189173,-0.0029004475247347726,6742.008122253418,-1.4383155703544617,3.3166444301605225
18432,-1336.5426825437694,-0.003347364800720243,7357.165107727051,-1.4357774961739778,4.613112449645996
20480,-1342.7403344646095,-0.0019568394389352763,7077.6021926879885,-1.4418178908526897,2.3866262435913086
22528,-1248.199847210571,-0.0015687944811361375,5987.274922943116,-1.430145013332367,3.1803300380706787
24576,-1200.923813245818,-0.0020142972818575798,5033.285857391357,-1.415980490669608,5.967109203338623
26624,-1215.5009834513069,-0.001850964786717668,5063.405354309082,-1.403669388592243,4.314505100250244
28672,-1299.1111708346755,-0.0014340203633764759,5561.936213684082,-1.3998984079807997,1.1392227411270142
30720,-1174.2163993022637,-0.003480388740717899,4511.939971923828,-1.3959660071879625,3.2721426486968994
32768,-1367.1242009818554,-0.001721658231690526,6109.585467529297,-1.393190060183406,2.2774691581726074
34816,-1267.0173738578335,-0.0019796418666373937,4398.596212005616,-1.404265372082591,1.8050676584243774
36864,-1321.2219804759602,-0.0016061254551459569,4556.388563537597,-1.406969625875354,1.8531907796859741
38912,-1140.6193079988473,-0.0010442117476486602,3295.6060928344727,-1.4132426977157593,6.433709144592285
40960,-1347.1256689619272,-0.0015815064907656051,4287.999942016601,-1.411196269094944,3.0190231800079346
43008,-1264.4840877666836,-0.00643991695396835,3587.0296043395997,-1.4224064487963914,1.8037545680999756
45056,-1257.7545547029936,-0.001992850046372041,3637.5456268310545,-1.4431789446622134,1.4276304244995117
47104,-1309.551688927412,-0.0023499614384490997,3193.417455291748,-1.4404238168150187,4.344394683837891
49152,-1276.363242553547,-0.0037862679862882944,2979.3437671661377,-1.4437821809202434,2.570767402648926
51200,-1258.620886901021,-0.002965014724759385,2868.7883293151854,-1.428338199853897,1.8744553327560425
53248,-1283.9063342873008,-0.0009618677038815803,2733.376499938965,-1.4123351588845252,1.4378256797790527
55296,-1156.3226356252096,-0.004439965140772983,1816.5885234832763,-1.4221313431859017,1.452820897102356
57344,-1181.9174101877957,-0.0021913568933086937,1869.922345352173,-1.414464307203889,1.6440938711166382
59392,-1282.5245267465712,-0.0031884219526546074,1719.6261278152465,-1.3976003129035235,2.260308027267456
61440,-1228.717598811537,-0.0021046906025731006,1635.1435024261475,-1.3901620041579008,1.533677577972412
63488,-1263.4042953466064,-0.0033575964320334607,2632.2607864379884,-1.3845615737140178,1.8477296829223633
65536,-1155.20031709522,-0.005827149681863375,1394.98898563385,-1.3845985047519207,2.2488372325897217
67584,-1069.483678213507,0.000849763589212671,1153.2529718399048,-1.3839674673974514,1.8519487380981445
69632,-1127.254625634104,-0.0035408059775363654,986.27520236969,-1.3765856686979532,1.0015102624893188
71680,-1161.440385561064,-0.0027121949569846038,975.5945331573487,-1.3777323864400386,2.4529597759246826
73728,-1196.80522942096,-0.003808204423694406,1198.4552389144897,-1.3789927948266267,0.5135934948921204
75776,-1157.7375485025345,-0.004580104954948183,598.9964635848999,-1.3709768798202275,1.046191692352295
77824,-1315.650145370327,-0.0016606391975074076,1296.2023485183715,-1.3683978382498025,1.3266959190368652
79872,-1139.0816266272218,-0.00474327601477853,760.090915107727,-1.3691731687635182,1.1480185985565186
81920,-1124.661206416157,-0.001822816056665033,789.9522104263306,-1.3695681642740964,0.5675215125083923
83968,-1079.3768050186336,-0.00296514125802787,631.4775411605835,-1.3733953934162855,0.48951011896133423
86016,-1226.1116803659127,-0.0001682348687609192,791.3557037353515,-1.381716603040695,1.5731308460235596
88064,-1142.253132789582,-0.002620209335873369,470.2235067367554,-1.3868921022862195,1.0863707065582275
90112,-1146.4477256644518,-0.002335471352853347,455.0350987434387,-1.390388260781765,1.0951625108718872
92160,-1174.1484867730178,-0.0036001383436087054,651.928304386139,-1.3868532560765743,1.1364712715148926
94208,-1125.9626592895015,-0.0035281956428661943,630.4465310096741,-1.3818209100514651,0.8934563398361206
96256,-1108.7974548839034,-0.0013621460500871762,612.3314642906189,-1.382015512138605,1.4043992757797241
98304,-1189.9861292216926,-0.002793612069945084,499.66463737487794,-1.3708510272204877,2.6572697162628174
100352,-1182.4955891259015,-0.0035348722027265466,610.7450639724732,-1.3575999386608602,1.1266852617263794
