step,mean_return,policy_loss,value_loss,entropy_loss,vae_loss
2048,-1311.5155806474388,-0.0037910593222477474,9260.304881286622,-1.4181029062718153,103.44497680664062
4096,-1192.7264879450202,-0.0019054313292144799,7508.917918395996,-1.4197294384241104,32.23249816894531
6144,-1368.4570471525192,-0.003774022233847063,9624.847190856934,-1.4297739461064338,19.04514503479004
8192,-1159.6025781756384,-0.001024165864509996,7559.322488403321,-1.4476172193884849,6.471681594848633
10240,-1211.8446399945765,-0.00159197570028482,7227.258982849121,-1.4625175651162863,9.963868141174316
12288,-1220.4957485165446,-0.001711163371510338,6736.1597351074215,-1.4676555559039115,5.715811729431152
14336,-1299.7423882242292,-0.0006154690941912122,7784.157580566406,-1.4761493537575006,6.958469867706299
16384,-1287.5866246128455,-0.0022291124085313642,6955.414028930664,-1.4857807010412216,3.043067455291748
18432,-1184.761599082593,-0.003128844517050311,5657.6373268127445,-1.4884072735905647,4.908600330352783
20480,-1314.2994643051177,-0.0015411011714604682,6776.395439147949,-1.4919098634272814,2.9349818229675293
22528,-1231.54189124126,-0.002761321741854772,5777.358807373047,-1.482218712568283,1.3843894004821777
24576,-1192.3201265193522,-0.0011823914232081735,5575.663772583008,-1.471469422057271,3.244082450866699
26624,-1176.8262563303113,-0.003413520575850271,4544.933574676514,-1.4648976121097803,4.992149353027344
