step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1230.1316795969383,0.00035217215481679885,2194.2525774002074,-1.4421043571084737
4096,-1239.4244331382215,0.0004174874848104082,1444.9396876335145,-1.4480482541024684
6144,-1212.657980669476,-0.0028405645498423837,1150.578193950653,-1.4391514182090759
8192,-1238.3457557546674,-0.005861195804027375,1083.9346780776978,-1.434824664145708
10240,-1177.2216674521565,-0.0008979485945019405,896.4303957939148,-1.450534176081419
12288,-1187.3639530626824,-0.0049300700688036155,1079.538327217102,-1.4542211052030325
14336,-1169.0890778409316,-0.0021637014637235553,986.5140837669372,-1.45453488714993
16384,-1231.2633332580328,-0.00457275756780291,692.459688091278,-1.4479633402079344
18432,-1267.4093802709133,-0.0018294379086000844,539.8410669326782,-1.4459400355815888
20480,-1163.1237739935518,-0.0020641228984459303,810.561545753479,-1.4437190435826779
22528,-1204.9748079952085,-0.003494931470777374,656.9522517204284,-1.4485591735690833
24576,-1173.562954673916,-0.004910151672083885,610.0742143630981,-1.4698464095592498
26624,-1123.8961092033192,-0.0023957855068147183,619.6850928306579,-1.4934394601732492
28672,-1150.6574529338627,-0.0006390596769051627,460.6496438026428,-1.5105823419988156
30720,-1154.068765418604,2.868489973479882e-05,677.3331263542175,-1.526104486733675
32768,-1178.165751502663,-0.001869314766372554,719.4877111434937,-1.5598456725478171
34816,-1070.5734885417855,-0.004021881152584683,738.9312660217286,-1.5893601283431054
36864,-1233.7566907458008,-0.002132677451299969,406.94926075935365,-1.629338800907135
38912,-1246.857065629214,-0.001776873366907239,458.5755981445312,-1.6526252642273902
40960,-1185.5624666132032,-0.003281841664284002,432.47785382270814,-1.6437867756932973
43008,-1171.8198531875387,-0.0025708372253575363,680.2201439857483,-1.6506369654089212
45056,-1147.4378743059933,-0.0021627346250170376,508.0577331542969,-1.6605413816869259
47104,-1130.9267927661538,-0.0034670814973651433,768.750255870819,-1.6623547092080115
49152,-1197.0032190051454,-0.005287514628435019,668.7261187076568,-1.673653669655323
51200,-1104.43935886845,-0.0012818189192330466,656.4542775154114,-1.6788826711475848
53248,-1092.3169287630358,-0.00464393721849774,825.2655529975891,-1.6862204749137164
55296,-1208.9910646244884,-0.00347414912248496,780.3401035308838,-1.7000877514481545
57344,-1189.1376309797633,-0.0010892534482991323,740.7412505149841,-1.7417640700936317
59392,-1210.4192146208138,-0.0060415666273911485,545.5263556480407,-1.775076250731945
61440,-1135.7553049080075,-0.003258620855922345,642.5190089225769,-1.7604777537286282
63488,-1100.4667791591958,-0.001297121991228778,750.8150770187378,-1.7725134801119566
65536,-1140.8744122990406,-0.004760487280145753,463.8382960796356,-1.7939150005578994
67584,-1067.1782207069919,-0.004906533838948235,823.962559223175,-1.783927870541811
69632,-1151.1476882644463,-0.0009498914529103786,593.93412733078,-1.7870079781860113
71680,-1022.9219578495249,-0.005087967040162766,789.666415309906,-1.7847489692270755
73728,-929.028839866817,-0.0037908874292043038,909.8907039642334,-1.786576883122325
75776,-1000.743956105411,-0.006279123713466106,843.2278146743774,-1.7778727050870657
77824,-823.8610943380045,-0.007427753730735276,1298.280756378174,-1.7700131930410863
79872,-916.3365517523664,-0.006756813118408899,1730.1144737243653,-1.7442172773182392
81920,-980.3697721863533,-0.0012753354436426888,1196.373566532135,-1.731164577230811
83968,-792.8986378621776,-0.004140138527145609,1584.0404476165772,-1.7204544752836228
86016,-861.6213216140634,-0.0040493037115084006,2053.441809463501,-1.7012783572077752
88064,-958.1295571541123,-6.257366039790213e-05,1087.1380504608155,-1.687989964336157
90112,-879.0192963836278,-0.004398595337988809,1029.4512598991394,-1.6799664296209813
92160,-767.9950268163345,-0.0037554410911980083,2657.538321685791,-1.6733602821826934
94208,-829.2068834847043,-0.004067261821182911,3042.624304962158,-1.6864151038229465
96256,-929.9980123518719,-0.003403045934101101,1890.746667098999,-1.7050501003861427
98304,-843.1574221001545,-0.00288696277566487,2310.9152517318726,-1.7101654596626759
100352,-891.0478906637,-0.004152932326542213,3321.663749694824,-1.7104819070547819
