step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1325.55284295436,-0.0037338801615987905,9122.288890075684,-1.4185363736003638
4096,-1242.7831864520908,-0.0019950368397985583,8454.667964172364,-1.4176640249788761
6144,-1464.386212004721,-0.001116280104906764,11571.480947875976,-1.4124952111393214
8192,-1383.6674239259214,-0.001241885544732213,9359.149699401856,-1.4099287178367377
10240,-1385.409398074448,-0.0021612063457723705,9997.807096862793,-1.423608798533678
12288,-1260.5622673109174,-0.003266006984631531,7594.610319519043,-1.4373714324086904
14336,-1516.7419898748399,-0.001020734901248943,9767.618283081054,-1.4379689246416092
16384,-1203.4057781524957,-0.0028327225300017744,6481.9475570678715,-1.4384269885718823
