step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1221.3048965070398,-0.0003270182358392049,2039.045151424408,-1.4400563679635525
4096,-1336.955696822703,-0.0004497609603276942,1265.3103034496307,-1.4497089684009552
6144,-1379.4226179122925,-0.0004656183737097308,1021.0480619430542,-1.4777817990630866
8192,-1241.0026189208031,-0.0015675843300414273,942.2436929702759,-1.500557764619589
10240,-1240.4445316389204,-0.0034915614422061482,692.761992931366,-1.5148097209632396
12288,-1235.3717909790576,-0.006948073931562248,791.0510145664215,-1.5143415965139866
14336,-1184.9585226550698,-0.0002362091363465879,715.7992757797241,-1.4977750968188048
16384,-1153.7952468151227,-0.002088826162798796,479.0652415752411,-1.4956207040697336
18432,-1174.8363012343646,-0.0024482918248395435,493.77758331298827,-1.5163830284029245
20480,-1197.3599614174339,-0.000970018510997761,719.4853700637817,-1.5417148657143116
22528,-1204.0446384643205,-0.0023694086499745025,717.935324382782,-1.5484192509204149
24576,-1202.2302361407317,-0.004092890345782507,776.412058544159,-1.5623326428234576
26624,-1222.0083765167742,-0.0005074680331745185,677.8413522720336,-1.590977970138192
