step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1325.55284295436,0.0005509029680979439,3001.327901506424,-1.4199564505368472
4096,-1278.3634831111879,-0.0019652239505376203,1148.0751733779907,-1.4266832202672959
6144,-1407.6800593167543,-0.0021143107063835488,1515.8332033634185,-1.4145991533994675
8192,-1380.4768268441796,-0.001927510168752633,982.581193447113,-1.4164663910865785
10240,-1271.9694285295905,-0.0010970705916406587,742.7558244228363,-1.4108722645789384
12288,-1209.2715502303095,-0.0032684451871318743,449.94933092594147,-1.3994037311524152
14336,-1321.027766419947,-0.003961361368419602,358.10779304504393,-1.3971514999866486
16384,-1157.2854856163262,-0.002262383645575028,178.54401679039,-1.4168137721717358
18432,-1157.3086044010706,-0.0027096153862657957,231.43859653472902,-1.3972395904362203
20480,-1332.4383370883763,-0.002314935803588014,215.35800957679749,-1.4245388612151146
22528,-1268.1035173639655,-0.0008961541199823842,197.15533561706542,-1.4060578491538762
24576,-1162.0884874723852,-0.000527037208667025,161.2131116628647,-1.4198647923767567
26624,-1280.205142904073,-0.002311452197318431,150.92438527345658,-1.4436679136008024
