step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1278.8396490320563,-0.00267732568026986,9461.910160827636,-1.4211644180119039
4096,-1167.821912499517,-1.7928730812855065e-06,7454.258769226074,-1.4249769769608975
6144,-1028.0597746806102,-0.0016201735998038203,6349.662689208984,-1.4366803843528033
8192,-1314.2645771753043,-0.0012277980335056783,8261.037565612793,-1.4419528491795064
10240,-1424.4026539728045,-0.0011712172388797625,9623.829072570801,-1.4524408210068942
12288,-1080.934847133141,-0.0010872918835957534,5673.328472900391,-1.4647403851151466
14336,-1181.1236455770966,-0.0010301399786840193,6935.112603759766,-1.4631537478417158
16384,-1278.5865890167654,-0.0030849888309603555,6979.733815002442,-1.4703117478638887
18432,-1159.492343259731,-2.5977254699682818e-05,5397.101293945312,-1.4794542144984006
20480,-1228.0623411476613,-0.0014514099995722063,6080.660874938965,-1.4773728135973214
22528,-1235.4947472360916,-0.0008659360129968264,5770.219620513916,-1.4776846822351217
24576,-1261.7283987788483,-0.0015446258112206124,5588.254260253906,-1.48321453332901
26624,-1287.3950402781368,-0.00026661780211725274,5645.79694442749,-1.491338401660323
28672,-1092.3027040367015,-0.0027102577478217427,3619.827433013916,-1.5144292648881674
30720,-1215.6086426902561,-0.0004633555799955502,4438.943892669678,-1.5224659092724324
32768,-1244.7547983733937,-0.0009027791071275715,4088.6897132873537,-1.5172966841608286
34816,-1254.2960624039174,-0.0020047398706083187,4359.854334259033,-1.5082535985857248
36864,-1138.847770073451,-0.000674654524482321,3430.984786224365,-1.5026538699865342
38912,-1356.847887202725,-0.0012039216628181749,4844.521513366699,-1.5126342829316854
40960,-1294.8352992415428,-0.0012415714449161897,4166.442394256592,-1.5203132189810276
