step,mean_return,policy_loss,value_loss,entropy_loss,cpc_loss,infonce_loss,supcon_loss,aux_dyn_loss
2048,-1299.2544867864576,-0.003001801675418392,9031.400532531738,-1.4152587324380874,22.274192810058594,4.1442131996154785,3.986389398574829,14.143589973449707
4096,-1175.5739983234555,-0.0019487033947370946,7762.916958618164,-1.4081448297947645,16.10368537902832,4.114120006561279,4.063571929931641,7.925992488861084
6144,-1291.2453249827026,-0.0025439730248763225,8583.495979309082,-1.4112484339624642,17.824901580810547,4.117386341094971,4.053138256072998,9.654377937316895
8192,-1270.7270298358985,-0.0017156325018731877,9064.025744628907,-1.4157544516026974,12.185966491699219,4.019935131072998,4.010447978973389,4.15558385848999
10240,-1231.159665145725,-0.002264162711799145,7476.454705810547,-1.408532240986824,11.769123077392578,3.9523563385009766,4.046725749969482,3.77004075050354
12288,-1282.586337679997,-0.003556407877476886,7739.769071960449,-1.3931122738867998,9.787491798400879,3.9026927947998047,4.0401930809021,1.844605803489685
14336,-1424.7615765275434,-0.004523051636351738,9290.186396789552,-1.38816427141428,9.677080154418945,3.971630811691284,4.028814792633057,1.676634430885315
16384,-1183.5732424074783,-0.00018947401040350086,5338.040322875977,-1.3927563887089491,9.032176971435547,3.7496395111083984,4.042608261108398,1.2399288415908813
18432,-1121.3962773784995,-0.0018721714804996736,4774.8071762084965,-1.3943382907658814,10.3987455368042,3.8071746826171875,4.152556896209717,2.439013957977295
20480,-1282.1725123574492,-0.00016083181471913122,6689.533280944825,-1.3952226910740138,8.662172317504883,3.743530035018921,3.9738385677337646,0.9448038935661316
22528,-1390.356372781098,-0.0013819764761137776,7114.560856628418,-1.3994130734354258,8.342289924621582,3.8776683807373047,4.075621128082275,0.3890007436275482
24576,-1268.753409730643,-0.001495319050445687,5964.717552185059,-1.4092281445860864,8.49472427368164,3.7753961086273193,4.010539531707764,0.7087885737419128
26624,-1283.0325786307453,-0.0005876851049833931,5638.545645141601,-1.4171273536980151,8.645427703857422,3.7831294536590576,4.0315961837768555,0.8307016491889954
