step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1226.0421052103861,-0.001631673242081888,8816.215316772461,-1.4224662449210883
4096,-1392.739520600438,-0.0015157519388594664,10167.712481689454,-1.4232274983078241
6144,-1221.3775228753686,3.830741115962155e-05,7331.958378601074,-1.4252221029251815
8192,-1207.9875462651253,-0.001677890826249495,8443.424169921875,-1.436857918649912
10240,-1130.5238974186127,-0.0015161108385655098,6200.771455383301,-1.4425800986588002
12288,-1107.1227529132273,-0.00018773090705508365,5556.615978240967,-1.4448695704340935
14336,-1361.938459413126,-0.00281566675985232,8497.83634185791,-1.4429112326353788
16384,-1267.069434245955,-0.00047946884878911076,6783.41279296875,-1.4360967352986336
18432,-1183.0760583320632,-0.0010552038656896912,5907.469418334961,-1.4335813254117966
20480,-1144.8493505153806,-0.0008624452631920577,5286.635159301758,-1.4368885658681392
22528,-1206.0666357915848,-0.0027892407109902707,5543.919142913818,-1.447213961184025
24576,-1209.2221154075116,-0.0015578704027575442,5174.349436950683,-1.4542354334145784
26624,-1129.4448187107337,-0.0017644334424403497,3931.2542152404785,-1.4660117547959088
