step,mean_return,policy_loss,value_loss,entropy_loss,cpc_loss,infonce_loss,supcon_loss,aux_dyn_loss
2048,-1300.7856027059256,-0.0021472537096997256,9117.465539550782,-1.428851493820548,8.402994155883789,3.821178674697876,4.015557289123535,4.1802592277526855
4096,-1183.2761263690888,-0.0037319986426155084,7438.235713195801,-1.4290412455797195,4.944133281707764,3.5639145374298096,4.697418212890625,0.9104771614074707
6144,-1368.115311729908,-0.0015956371906213462,9599.167846679688,-1.4130478113889695,4.5450592041015625,3.528965711593628,4.233327865600586,0.5927605628967285
8192,-1236.2616811551154,-0.0005878537907847203,8479.375341796875,-1.4055368974804878,4.1999006271362305,3.462705612182617,4.3246378898620605,0.30473119020462036
10240,-1214.590121796727,-0.002418364872573875,7171.286994934082,-1.4103581219911576,4.619943141937256,3.58181095123291,4.0779709815979,0.6303349137306213
12288,-1176.7846448240336,-0.0015638646436855197,6511.122926330567,-1.4129623137414455,3.9466018676757812,3.2984659671783447,3.8133251667022705,0.2668032646179199
14336,-1257.7434223517776,-0.0006745879785739817,7222.413351440429,-1.404033888876438,4.444468975067139,3.5797030925750732,4.088202476501465,0.45594561100006104
16384,-1146.9404854478548,-0.0034907023669802583,5573.277812957764,-1.3981989849358798,3.980430841445923,3.3237521648406982,4.003466606140137,0.25633183121681213
18432,-1147.8741590004415,-0.0005310356558766216,5113.399642944336,-1.4020323671400547,4.151752948760986,3.4932215213775635,3.9749767780303955,0.26103392243385315
20480,-1284.9676700215787,-0.0025049662843230182,6709.7161270141605,-1.4051301393657922,4.00035285949707,3.415961265563965,4.130558013916016,0.17133581638336182
22528,-1135.741951879114,-0.002708828307368094,4720.015037536621,-1.3976836994290351,3.971930980682373,3.435776948928833,3.9604392051696777,0.14010991156101227
24576,-1179.975143809989,-0.0018804562729201279,5077.544679260254,-1.3968409411609173,4.115203857421875,3.5183427333831787,3.994406223297119,0.19742047786712646
26624,-1118.61102764979,-0.0021247089534881525,3987.318939971924,-1.3997625064104795,4.0035881996154785,3.4098074436187744,4.125135898590088,0.18126733601093292
