step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1358.1939457803965,0.0022237444238271563,3350.0135986328123,-1.4087477255612613
4096,-1318.5512648567558,-0.00380077473964775,1703.2325852394104,-1.42688511274755
6144,-1273.3111565850675,-0.005789499306411016,1057.5779673099519,-1.4466810170561075
8192,-1213.7958712795748,-0.005708635189512279,901.522334766388,-1.4594572369009255
10240,-1388.6778187520802,-0.004590141834341921,547.7101702690125,-1.44852240011096
12288,-1202.1719913873821,-0.0001207866531331092,348.86535680294037,-1.4534238331019877
14336,-1315.4231169719249,-0.004451604693895206,335.5806056499481,-1.4406169507652522
16384,-1242.2005646464647,-0.002010085235815495,258.8409611463547,-1.421631169691682
18432,-1235.4252384729684,-0.004947658885794226,175.82629412412643,-1.3765373703092336
20480,-1265.5977188251914,-0.004726169952482451,216.12776259183883,-1.3846023835241794
22528,-1169.4419080883265,-0.0024804680440865924,148.0545583128929,-1.4092266015708446
24576,-1215.657755469531,-0.0015513400270720013,177.3692425251007,-1.4186074316501618
26624,-1084.0866079963744,0.001544096096768044,93.53434292674065,-1.4325532611459493
28672,-1101.477769573778,-0.001107450996642001,113.55288957357406,-1.411086155101657
30720,-1032.3450668759644,-0.007486831452115439,112.74165439605713,-1.3554582126438617
32768,-1107.273398292251,-0.0026372471991635395,69.63374807834626,-1.3476624310016632
34816,-1010.1295429680497,-0.0028899667260702698,85.21475229859352,-1.3613677974790335
36864,-941.1689008892281,-0.006663318193750456,161.1569688439369,-1.3528076212853193
38912,-1112.5338473167271,-0.0042770387197379025,72.82106484770775,-1.3534675944596528
40960,-1118.9219605906867,-0.005222941527608782,123.44821098446846,-1.4032319474965333
43008,-928.6635572678875,-0.0005260607358650304,125.93529471158982,-1.4212567072361708
45056,-839.1128228109403,0.0010242698044748977,97.60039618611336,-1.4174095787107945
47104,-911.563090275228,-0.0002791337785311043,91.74899058938027,-1.411306470260024
49152,-1074.8890090685804,-0.0006660577182628913,166.33580518960952,-1.4013505067676306
51200,-945.1823042253964,0.004318299442820717,86.13343961238861,-1.4357601892203093
53248,-744.7434922852095,-0.002589567587710917,118.09000340700149,-1.5047398779541254
55296,-848.0082314283354,-0.004716598922095727,117.51749254465103,-1.526110315695405
57344,-903.7180100998492,-0.0036329854832729326,97.05507796406746,-1.5282272290438415
59392,-858.8425624425756,-0.00330273138533812,107.35204825401306,-1.5147602554410695
61440,-745.292739754141,-0.0038464609446236865,148.53732059001922,-1.526141719892621
63488,-998.260685992532,0.0023925410787342116,99.905463463068,-1.5074802611023188
65536,-683.4588221434271,-0.003914974383951631,141.28796079158784,-1.524507810547948
67584,-814.0534244675306,0.002161369765235577,102.07257790565491,-1.5592257183045148
69632,-915.0589771800966,-0.0028051762012182733,66.17179375290871,-1.547485999017954
71680,-702.0312785707181,-0.0002023266948526725,119.1741488456726,-1.5537695057690144
73728,-920.408311956047,-0.00364032945362851,120.21585646867752,-1.5734414361417293
75776,-1117.6984430219977,-0.0022361011549946854,120.43008165955544,-1.5646254912018775
77824,-882.7973612922709,-0.004426563358720159,485.5206917524338,-1.5417443484067916
79872,-786.4148706625856,0.0055816311461967414,106.69774752855301,-1.5356407180428504
81920,-935.2584148621623,-0.001664551445719553,88.4049390077591,-1.5246632616966962
83968,-607.0763450771716,-0.0033877534850034864,139.75487319231033,-1.5124004770070314
86016,-802.3810508591159,0.002623118936026003,81.4775417804718,-1.507692713290453
88064,-780.7535232531721,-0.0011086159669503105,62.49057635068893,-1.4681914191693068
90112,-647.4941457141865,0.0030883820247254333,157.9061912059784,-1.4295894123613835
92160,-629.4224132485804,0.002951576620398555,82.28086637854577,-1.4176461558789015
94208,-727.0593468020874,-0.0017016801168210805,83.29950087070465,-1.4240036439150572
96256,-657.1382585249648,-0.0020848314255999868,166.86004130244254,-1.4287056397646665
98304,-991.7453834243919,-0.003868309242534451,219.1719879746437,-1.4239000361412764
100352,-637.3816025074514,0.013690930767916143,68.94137298464776,-1.4443669136613608
