step,mean_return,policy_loss,value_loss,entropy_loss
2048,-1476.9374895095825,0.003434197115711868,3718.070404338837,-1.4023465391248464
4096,-1331.1934093859047,-0.0004479290553717874,1659.77773604393,-1.4097182892262936
6144,-1092.7184499759692,-0.002825878496514633,694.994067144394,-1.4100263524800538
8192,-1239.9399981359952,-0.000990280667610932,857.5198131084442,-1.39614636041224
10240,-1302.8988207219168,-0.00570901405881159,584.7562725067139,-1.3862765744328498
12288,-1281.4407363516395,-0.004664658471301664,448.00210111141206,-1.4321835231035949
14336,-1233.846554543078,-0.0029763476457446815,316.4854521989822,-1.4680588588118553
16384,-1209.8610593684018,-0.0023735534916340837,353.8874350309372,-1.498795187845826
18432,-1113.0299958650023,-0.004855777950433548,185.5354129076004,-1.4950313359498977
20480,-1253.5425395213067,-0.0007945795259729493,208.53823699951172,-1.493351783975959
22528,-1241.9356818012893,-0.0007651722247828729,185.5431970357895,-1.5256230283528567
24576,-1228.6367628931998,-0.002452322075259872,149.7169855117798,-1.555847203731537
26624,-1211.0226957298814,-0.0036284261892433277,128.69390606880188,-1.5626305177807809
28672,-1080.0184662688523,-0.0004391977156046778,84.82403804659843,-1.5371170431375503
30720,-1219.5615073457361,-0.0006947748523089103,97.11135749816894,-1.5424573581665755
32768,-1099.164113653358,-0.006499562851968221,91.83356220126151,-1.573041869327426
34816,-1037.8374384707772,-0.0019501194343320093,136.82825890779495,-1.5730235762894154
36864,-1195.6602349994705,-0.0008976159675512463,135.2046346783638,-1.5548870082944632
38912,-1165.5878699082882,-0.0015648293861886486,80.57807683348656,-1.5272024255245924
40960,-1107.0710053943099,-0.0012587978926603682,143.75857838392258,-1.5094728428870439
43008,-1161.1095093797892,-0.002576379453239497,108.20995292663574,-1.505204525217414
45056,-1050.7422695720802,-0.0016023913442040794,113.1679125726223,-1.5035784352570771
47104,-857.9549847565592,-0.0005627896985970438,126.66356791257859,-1.4681878715753556
49152,-971.0783656878397,-0.01200498764810618,223.44986088275908,-1.4702529035508634
51200,-912.2108164726058,-0.0006582908754353411,95.55008792281151,-1.4841672874987126
53248,-856.9384190491983,0.0029291784900124184,94.31803923845291,-1.4942514408379792
55296,-947.1318949232576,-0.004875742919102777,209.1299435853958,-1.4976283993571997
57344,-799.6914847178384,0.006476774651673622,58.418511238694194,-1.5012604061514139
59392,-843.9160563316545,0.0024315576418302955,112.60617212057113,-1.4886756040155888
61440,-825.7249767201953,-0.0021782223004265687,165.37790502309798,-1.4799438137561083
63488,-953.1732347819022,-0.00018902950250776485,85.77872965931893,-1.4429915465414525
65536,-814.7818542845082,0.0020060321548953652,150.26398433446883,-1.4123663380742073
67584,-868.6286069994792,-0.00851607123913709,120.21357548832893,-1.409427097067237
69632,-905.8013734009116,0.0001385450374073116,62.79518095254898,-1.4146161209791899
71680,-869.0635192434711,-0.001040995216317242,210.6025662302971,-1.4014805413782596
73728,-841.186936126498,-0.001540155042312108,181.34769067764282,-1.3791101582348346
75776,-912.6108006509021,0.00782638732198393,81.5839326262474,-1.3890435967594386
77824,-615.2992553608958,0.0034924539344501682,135.07897361516953,-1.3892343290150166
79872,-841.8982105982839,-0.002010225411504507,107.89092864990235,-1.4294531639665364
81920,-982.731189562491,0.0071531218956806695,48.51033076345921,-1.4371911901980639
83968,-734.3564504284877,0.0010990220733219757,143.3626125216484,-1.4672437716275453
86016,-969.6183394343127,0.002637616676656762,124.15619767904282,-1.499772247299552
88064,-875.6787411781494,-0.0023520341695984826,62.292358204722404,-1.5309302244335412
90112,-931.1262590349827,-0.008541787706781179,342.9757831096649,-1.553524002060294
92160,-916.1267941390164,-0.0003636102374002803,261.7360470533371,-1.5488721799105405
94208,-996.7412287769141,-0.005574674685340142,182.33853116035462,-1.5898408219218254
96256,-1073.6892013942822,-0.004216028083465062,775.634327173233,-1.6343709915876388
98304,-829.2858335318931,-0.0021648262947564943,190.9766302704811,-1.6398305334150791
100352,-722.9198017042014,-0.0023090966031304562,490.7678046703339,-1.6155858211219312
